case_id,scenario,compromised,expected_disposition,final_disposition,compromise_probability,evidence_quality,asset_criticality,break_glass,authorization_issued,post_action_verified,latency_ms
test-00000-f72736f,benign_travel,False,NO_ACTION,NO_ACTION,0.02168872,0.986286,0.862,False,False,True,1.04
test-00001-67becd0,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99487062,0.986286,0.228,False,True,True,0.837
test-00002-09540e0,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.9929869,0.986286,0.899,False,False,True,0.464
test-00003-4bd357a,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99122523,0.986286,0.268,False,True,True,0.788
test-00004-8236ae0,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.0157562,0.986286,0.938,False,False,True,0.439
test-00005-62ee6cd,service_account_batch,False,NO_ACTION,NO_ACTION,0.0318068,0.986286,0.497,False,False,True,0.439
test-00006-2f238f9,approved_maintenance,False,NO_ACTION,NO_ACTION,0.02256974,0.986286,0.766,False,False,True,0.477
test-00007-1fb55d0,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99223513,0.986286,0.555,False,True,True,0.692
test-00008-2e70e8b,sensor_conflict,True,INVESTIGATE,INVESTIGATE,0.39415069,0.880286,0.906,False,False,True,0.433
test-00009-d53f3ab,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.97213683,0.986286,0.672,False,True,True,0.685
test-00010-02776a4,approved_maintenance,False,NO_ACTION,NO_ACTION,0.01916107,0.986286,0.743,False,False,True,0.455
test-00011-1f1bcd8,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99061757,0.986286,0.49,False,True,True,0.672
test-00012-423dbf4,service_account_batch,False,NO_ACTION,NO_ACTION,0.03010698,0.986286,0.378,False,False,True,0.433
test-00013-325cfaf,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99580662,0.986286,0.653,False,True,True,0.664
test-00014-8029394,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.96410889,0.986286,0.123,False,True,True,0.73
test-00015-217c390,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.57959479,0.61425,0.901,False,False,True,0.444
test-00016-1627ad6,malicious_oauth_consent,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99955459,0.986286,0.879,False,False,True,0.426
test-00017-f134f5c,telemetry_gap,False,INVESTIGATE,INVESTIGATE,0.23485921,0.817029,0.733,False,False,True,0.401
test-00018-201dd5b,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99460413,0.986286,0.831,False,False,True,0.486
test-00019-a5bc092,prompt_injection_poisoning,True,INVESTIGATE,INVESTIGATE,0.81555939,0.648,0.753,False,False,True,0.539
test-00020-d312913,password_spray_success,True,CONTAIN_REVERSIBLE,ESCALATE_HUMAN,0.96015871,0.986286,0.525,False,False,True,0.471
test-00021-a999e91,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.02081069,0.986286,0.814,False,False,True,0.421
test-00022-185b6d3,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99036756,0.986286,0.728,False,True,True,0.729
test-00023-13035a6,service_account_batch,False,NO_ACTION,NO_ACTION,0.03265353,0.986286,0.554,False,False,True,0.504
test-00024-7bbb8ba,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99890651,0.986286,0.281,False,True,True,0.666
