Requirement_ID,Category,Requirement,Implementation,Verification_Evidence,Status,Evidence_Boundary,Remaining_Gate
SA-DUR-001,Durable authority,"Persist immutable request claims, unique verified-decision authorization issuance, atomic authorization consumption plus attempt reservation, monotonic attempt/request outcomes, sanitized terminal results, and metadata-only outbox transitions in one local control authority store.","src/adf_poc/stage_a.py control schema v2; opt-in control_ledger_path","test_restart_replay_is_denied_before_a_second_broker_or_effect; test_successful_broker_attempt_and_outbox_survive_reopen; test_process_concurrency_reserves_one_attempt_and_consumes_once","PRECOMMIT_TESTED; exact-freeze pending","Single-host local SQLite and repository-controlled synthetic inputs only; no distributed linearizability, HA, fencing epoch, production identity, or operational effect","Freeze exact source; rerun focused/full regression and manifest; exercise power-loss and storage-failure boundaries."
SA-ADP-001,Synthetic adapter,"In one adapter-database transaction validate the exact stable idempotency binding, trusted prestate, and nonbackdated execution time; apply the offline synthetic transition; update durable target state; and insert one immutable SyntheticAdapterReceipt. Exact repeat returns the same receipt with no second change and changed binding conflicts.","src/adf_poc/stage_a.py SQLiteSyntheticAdapterStore; adapter schema v1; opt-in synthetic_adapter_path","test_adapter_exact_retry_ignores_new_correlation_but_changed_binding_conflicts; test_synthetic_adapter_rejects_backdated_effect_without_mutation; test_process_kill_after_applied_receipt_recovers_unknown_without_reinvoke; test_process_kill_after_affirmative_no_effect_receipt_recovers_failed","PRECOMMIT_TESTED; exact-freeze pending","Adapter and receipt are same-process, same-host, same-project, adapter-reported synthetic facts; no vendor adapter, external target, credential, or independent custody","Run real power-loss, disk/I/O, corruption, hot-target, and hostile cross-store-divergence campaigns; add process isolation before later integration."
SA-BND-001,Canonical binding,"Bind principal, request ID and canonical digest, decision and context, token ID plus unsigned digest and issuer, exact action/target/parameters, trusted prestate, policy identity/version/digest, adapter identity/version/digest, and synthetic execution mode; keep random attempt ID as correlation only and exclude bearer material.","src/adf_poc/stage_a.py canonical adapter binding and digest contract","test_attempt_idempotency_binding_is_independent_of_attempt_id; test_cross_store_overlapping_provenance_substitution_fails_closed; test_cross_store_terminal_target_substitution_fails_closed","PRECOMMIT_TESTED; exact-freeze pending","Canonical project contract only; no external signer, trusted time, managed key custody, or vendor semantic equivalence","Freeze contract/version and exact-commit negative-test evidence; independently review canonicalization and collision/substitution resistance."
SA-OBS-001,Post-action observation,"Read durable synthetic adapter state through a read-only observer separately from command acknowledgement and classify verified or conservative terminal disposition without treating receipt or same-store readback as independently custodied verification.","src/adf_poc/stage_a.py durable adapter observation integrated with the existing Phase 3 verification boundary","test_successful_broker_attempt_and_outbox_survive_reopen; test_process_kill_after_applied_receipt_recovers_unknown_without_reinvoke; test_closed_original_audit_before_lost_t3_recovers_without_reinvocation","PRECOMMIT_TESTED; exact-freeze pending","Observation is separate in code but uses the same adapter database and project custody; it is not independently authenticated target-side evidence","Add independently authenticated target-side observation, delayed/eventual-consistency handling, durable observation receipts, and target-owner acceptance."
SA-RSL-001,Terminal result,"Atomically store a closed versioned sanitized RequestLookupResult with the legal T3 control terminal transition and metadata-only outbox; bind the complete terminal attempt outcome and exclude executable authority.","src/adf_poc/stage_a.py RequestLookupResult and control schema-v2 terminal commit","test_restart_lookup_is_sanitized_and_duplicate_does_no_new_work; test_cross_store_missing_receipt_blocks_reopen_and_live_terminal_lookup; test_revoked_authorization_cannot_be_laundered_as_denied","PRECOMMIT_TESTED; exact-freeze pending","Synthetic terminal projection only; excludes authorization, token, nonce, signature, credential, key, raw audit rows, and executable authority; does not establish independent verification","Freeze closed schema/version and exact-commit tests; define approved retention, deletion, records, and disclosure controls."
SA-LKP-001,Duplicate lookup,"Provide authenticated read-only lookup_request_result keyed by exact principal, request ID, and canonical request digest; exact duplicate returns replayed=true with all new-work flags false, while changed digest or principal fails closed without disclosure; process_json remains duplicate-denying and Phase3Result-only.","src/adf_poc/phase3/engine.py lookup_request_result; Phase 3 process_json contract unchanged","test_restart_lookup_is_sanitized_and_duplicate_does_no_new_work; test_lookup_conflict_and_wrong_principal_disclose_no_prior_result","PRECOMMIT_TESTED; exact-freeze pending","Local synthetic authentication fixture and same-project store only; no enterprise identity, remote API, tenancy, rate limiting, or operational privacy claim","Freeze exact lookup contract/tests; add enterprise authentication, rate limiting, tenant isolation, monitoring, and records controls before deployment."
SA-LCK-001,Cooperative process ownership,"Serialize public-store first creation, combined durable startup, and each durable firewall operation with bounded POSIX directory-root flock; serialize each JSONL lifecycle with an exclusive audit-file flock; create no lock-file artifact.","src/adf_poc/stage_a.py _exclusive_store_startup; src/adf_poc/phase3/engine.py _exclusive_durable_startup and _exclusive_audit_file_execution","test_direct_store_first_creation_is_process_serialized; test_independent_processes_create_one_effect_receipt_and_terminal_result; test_database_lock_timeout_denies_without_authorization_or_effect","PRECOMMIT_TESTED; exact-freeze pending","Cooperative POSIX same-host serialization only; stable-root locking may serialize unrelated paths and does not fence noncooperating same-user code, other hosts, or modified code","Freeze exact multi-process evidence; add service ownership, lease/epoch/fencing, hostile-writer tests, load bounds, and supported non-POSIX behavior before deployment."
SA-COR-001,Cross-store correlation,"At startup and durable use compare validated authority-free control/adapter projections and reject orphan or missing receipts, overlapping provenance substitution, receipt digest/disposition mismatch, and terminal target-state mismatch.","src/adf_poc/phase3/engine.py durable store correlation; src/adf_poc/stage_a.py correlation snapshots","test_cross_store_missing_receipt_blocks_reopen_and_live_terminal_lookup; test_cross_store_orphan_receipt_fails_closed; test_cross_store_overlapping_provenance_substitution_fails_closed; test_cross_store_terminal_target_substitution_fails_closed","PRECOMMIT_TESTED; exact-freeze pending","Correlation detects the implemented closed mismatch set; it does not create cross-store atomicity, rollback protection, independent custody, or recovery-point consistency","Exercise hostile coordinated mutations and mixed backups; add shared recovery-point protocol or a separately approved architecture before operational use."
SA-TIM-001,Semantic and chronology validation,"Validate code-owned schema fingerprints, immutable metadata, canonical JSON/digests, relationship cardinalities, terminal-result provenance, control transition chronology, and continuous adapter target/receipt state-time history before authoritative use/write; use one firewall-clock creation timestamp for both new stores.","src/adf_poc/stage_a.py control and adapter validators; src/adf_poc/phase3/engine.py combined store creation","test_fk_clean_impossible_control_history_fails_closed_on_reopen; test_unlinked_transition_chronology_rejects_past_writes; test_synthetic_adapter_rejects_backdated_effect_without_mutation","PRECOMMIT_TESTED; exact-freeze pending","Local application-level validation with host-provided time; no trusted time, rollback-resistant counter, external state anchor, or Byzantine-store guarantee","Freeze exact corruption matrix; add trusted time/rollback protection and independent store evidence before deployment."
SA-REC-001,Recovery,"Under explicit operator-asserted quiescence reconcile one exact request without issuing a command: exact NO_EFFECT may close FAILED_NO_EFFECT; APPLIED, PARTIAL, AMBIGUOUS, or no receipt without separately durable verification closes UNKNOWN_EFFECT; corrupt, mismatched, or unavailable evidence halts; UNKNOWN_EFFECT remains terminal.","src/adf_poc/phase3/engine.py reconcile_request; docs/operations/STAGE_A_DURABLE_LEDGER_RUNBOOK.md","test_process_kill_before_adapter_becomes_terminal_unknown_without_retry; test_process_kill_after_applied_receipt_recovers_unknown_without_reinvoke; test_process_kill_after_affirmative_no_effect_receipt_recovers_failed; test_corrupt_receipt_halts_reconciliation_without_state_transition","PRECOMMIT_TESTED; exact-freeze pending; runbook not operationally validated","Operator assertion is an administrative interlock, not a lease/fence; no automated multi-instance recovery, independent verification, rollback, or DR","Exercise the runbook and real power-loss/corruption matrix; implement tested service ownership, lease/epoch/fencing, and independent observation before unattended recovery."
