Requirement_ID,Category,Requirement,Implementation,Verification_Evidence,Status,Evidence_Boundary
P3-OBJ-001,Objective,"Provide an end-to-end operational decision-control transaction using only synthetic requests, evidence, targets, and effects.","src/adf_poc/phase3/engine.py; run_phase3.py","tests/test_phase3_end_to_end.py; two raw-request demonstration acceptance checks",Implemented; local observation,"Local 0.3.0-alpha.1 CE-1 implementation conformance only; exact candidate commit and CI pending; no live or operational claim"
P3-CON-001,Contract,"Strictly decode raw versioned JSON and reject duplicate members, non-finite values, unknown or missing fields, invalid timestamps, unsupported versions, and bounded-resource violations.","contracts/v0.3.0/decision-request.schema.json; src/adf_poc/phase3/contracts.py","tests/test_phase3_contracts.py",Implemented; local observation,"Closed v0.3.0 synthetic request boundary only"
P3-ID-001,Identity,"Resolve an opaque invocation credential through a firewall-owned registry to a signed principal; verify identity, status, roles, and authority independently of request claims.","src/adf_poc/phase3/identity.py; src/adf_poc/phase3/engine.py; src/adf_poc/phase3/verifier.py","tests/test_phase3_decision_path.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Synthetic credential/resolver fixtures; request cannot carry the credential; no enterprise IAM authentication"
P3-EV-001,Evidence,"Resolve source type, reliability, and trust from the validated source registry rather than request assertions.","config/phase3_policy.json; src/adf_poc/phase3/config.py; src/adf_poc/phase3/evidence.py","tests/test_phase3_contracts.py; tests/test_phase3_adversarial.py",Implemented; local observation,"Project-controlled synthetic source registry"
P3-EV-002,Evidence,"Verify runtime HMAC evidence attestation over source, provenance, observation time, content, semantic assertions, relevance, and subject target; prevent cross-target replay and trust-domain key reuse.","src/adf_poc/phase3/attestation.py; src/adf_poc/phase3/evidence.py; src/adf_poc/phase3/engine.py","tests/test_phase3_adversarial.py; tests/test_phase3_decision_path.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Runtime synthetic shared keys with domain-separation checks; no PKI, HSM, device identity, or external custody"
P3-EV-003,Evidence,"Assess evidence freshness at decision time, relevance, corroboration, conflicts, missing action-specific sources, integrity, and poisoned text.","src/adf_poc/phase3/evidence.py","tests/test_phase3_adversarial.py; tests/test_phase3_decision_path.py",Implemented; local observation,"Deterministic synthetic evidence behavior; no source-truth or efficacy claim"
P3-AI-001,Safety,"AI recommendation and confidence shall remain advisory and shall not create or elevate authority.","src/adf_poc/phase3/decision.py","tests/test_phase3_decision_path.py; tests/test_phase3_corpus.py",Implemented; local observation,"Deterministic metamorphic tests; no general agentic alignment claim"
P3-POL-001,Policy,"Load an external deterministic closed-schema policy and fail closed on missing, malformed, unsafe, or contradictory policy; enforce exact unique rule precedence, conservative evidence floors with zero conflicts for automation, severe-consequence approval floors, and Tier-0 protection for every domain controller.","contracts/v0.3.0/phase3-policy.schema.json; config/phase3_policy.json; src/adf_poc/phase3/config.py","tests/test_phase3_contracts.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"One project-controlled policy and code-owned safety floor; policy correctness/fitness not externally validated"
P3-DEC-001,Decision,"Produce exactly ALLOW, DENY, ESCALATE, or ALLOW_CONSTRAINED with stable reason codes, policy binding, constraints, and structured explanation.","src/adf_poc/phase3/decision.py; src/adf_poc/phase3/models.py","tests/test_phase3_decision_path.py; tests/test_phase3_end_to_end.py",Implemented; local observation,"Synthetic implementation conformance only"
P3-DEC-002,Decision,"Copy security-relevant values into exact-type deeply immutable decision records and deterministically recompute the authorization surface in a functionally separate verifier.","src/adf_poc/phase3/models.py; src/adf_poc/phase3/verifier.py","tests/test_phase3_adversarial.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Same-project/process verification; no external oracle or organizational independence"
P3-CNS-001,Safety,"Evaluate trusted target criticality, dependencies, reversibility, blast radius, downtime, cascading effects, mission impact, safety impact, availability impact, and required human authority.","src/adf_poc/phase3/consequence.py; config/phase3_policy.json","tests/test_phase3_decision_path.py; tests/test_phase3_adversarial.py",Implemented; local observation,"Cascading-dependency defect found and closed before candidate freeze; synthetic inventory only"
P3-TGT-001,Safety,"Trusted target inventory and read-only observed state shall override conflicting requester-supplied target claims.","src/adf_poc/phase3/config.py; src/adf_poc/phase3/decision.py; src/adf_poc/phase3/simulation.py","tests/test_phase3_decision_path.py",Implemented; local observation,"Two synthetic targets; no CMDB or vendor-state authenticity claim"
P3-VER-001,Safety,"A functionally separate deterministic decision verifier shall recompute the complete authorization surface and issue a signed exact-scope verification receipt before token issuance; receipt reuse shall fail.","src/adf_poc/phase3/verifier.py; src/adf_poc/phase3/engine.py","tests/test_phase3_decision_path.py; tests/test_phase3_adversarial.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Same project/process/configuration; not external or organizational independence"
P3-AUTH-001,Authorization,"Authorization shall bind issuer instance, request, decision, agent, action, target, canonical parameters, issue/expiry time, policy identity/digest, decision context, target precondition, nonce, and integrity signature.","src/adf_poc/phase3/authorization.py; src/adf_poc/phase3/models.py","tests/test_phase3_authorization_boundary.py",Implemented; local observation,"HMAC and process-local key; not enterprise key management"
P3-AUTH-002,Authorization,"Authorization shall be single use and atomically consumed before an attempt, including failed attempts; sequential, concurrent, and prior-instance replay shall fail.","src/adf_poc/phase3/authorization.py; src/adf_poc/phase3/simulation.py","tests/test_phase3_authorization_boundary.py",Implemented; local observation,"In-memory process-local ledger; not durable, distributed, crash consistent, or multi-node"
P3-BRK-001,Execution,"The mandatory broker shall reject missing, wrong-type, altered, expired, replayed, or wrong-scope authorization and execute only the token-bound command.","src/adf_poc/phase3/simulation.py","tests/test_phase3_authorization_boundary.py; tests/test_phase3_corpus.py",Implemented; local observation,"In-memory synthetic broker only"
P3-BRK-002,Safety,"Target mutation shall require the broker's private execution capability and a matching target-state precondition.","src/adf_poc/phase3/simulation.py","tests/test_phase3_authorization_boundary.py",Implemented; local observation,"Application-level Python boundary; not OS/process security or hostile same-process isolation"
P3-SIM-001,Safety,"Phase 3 shall accept only the exact in-memory simulated target environment and expose no live or generic execution mode.","src/adf_poc/phase3/engine.py; src/adf_poc/phase3/simulation.py","tests/test_phase3_end_to_end.py",Implemented; local observation,"Code/application construction claim only; no deployment or OS egress proof"
P3-PAV-001,Verification,"Post-action outcome shall use separate read-only target observation rather than broker-reported state and classify VERIFIED, FAILED, PARTIAL, UNEXPECTED_EFFECT, or ROLLBACK_REQUIRED.","src/adf_poc/phase3/simulation.py","tests/test_phase3_adversarial.py; tests/test_phase3_decision_path.py",Implemented; local observation,"Functionally separate same-project verifier over the same simulated environment; not external target evidence"
P3-HIL-001,Human authority,"ESCALATE shall create a signed registered exact expiring approval requirement and no action authorization.","src/adf_poc/phase3/decision.py; src/adf_poc/phase3/models.py; src/adf_poc/phase3/approval.py","tests/test_phase3_decision_path.py; tests/test_phase3_authorization_boundary.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Synthetic approval object; no production workflow"
P3-HIL-002,Human authority,"Human approval shall resolve a separate opaque credential to a trusted human, require exact authority and scope, and atomically record single use; a signed receipt shall permit reevaluation only and shall never execute.","src/adf_poc/phase3/approval.py; src/adf_poc/phase3/engine.py","tests/test_phase3_authorization_boundary.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"In-process fixture; failure is retryable without orphan receipt/audit; no separation-of-duties or external identity proof"
P3-AUD-001,Audit,"Record a correlated hash-linked lifecycle from request receipt through decision, authorization/suppression, broker/attempt, verification, and final state without reusable secrets; bind executed-path identifiers, states, effects, and verification semantics. A prewrite append failure at ACTION_ATTEMPTED, VERIFICATION_PERFORMED, or FINAL_STATE_RECORDED shall emit exactly one POST_EFFECT_ACCOUNTING_FAILURE with honest effect/state, return ROLLBACK_REQUIRED, and reconcile one decision plus one verification failure.","src/adf_poc/phase3/engine.py; src/adf_poc/phase3/audit.py; src/adf_poc/audit.py","tests/test_phase3_end_to_end.py; tests/test_phase3_adversarial.py; tests/test_phase3_release_blockers.py",Implemented; local observation,"Self-custodied same-process recovery accounting only; no automated rollback, external anchor, WORM storage, trusted time, or whole-chain replacement resistance"
P3-MET-001,Observability,"Count all four decisions, rule matches, evidence conflicts, authorization failures, broker rejections, verification failures, and decision latency.","src/adf_poc/phase3/metrics.py","tests/test_phase3_end_to_end.py; tests/test_phase3_authorization_boundary.py",Implemented; local observation,"In-process diagnostic metrics; not independent operations telemetry"
P3-DEM-001,Demonstration,"A raw request for high-risk domain-controller isolation with 0.96 AI confidence, stale/conflicting evidence, Tier-0 consequence, and insufficient authority shall ESCALATE with no authorization or effect.","src/adf_poc/phase3/scenarios.py; run_phase3.py","tests/test_phase3_decision_path.py; tests/test_phase3_end_to_end.py; local demonstration acceptance check",Implemented; local PASS,"Synthetic demonstration only; no operational action or efficacy claim"
P3-DEM-002,Demonstration,"A raw request for authorized low-criticality workstation isolation with fresh corroborated evidence shall ALLOW, execute once in simulation, and verify the observed state through a functionally separate same-project readback path.","src/adf_poc/phase3/scenarios.py; run_phase3.py","tests/test_phase3_decision_path.py; tests/test_phase3_end_to_end.py; local demonstration acceptance check",Implemented; local PASS,"Synthetic in-memory effect only; no vendor or target-side operational proof"
P3-ADV-001,Verification,"Run a deterministic declarative adversarial corpus covering canonical outcomes, evidence, identity, consequence, authorization, replay, bypass, broker, verifier, metamorphic, and combined attacks.","src/adf_poc/phase3/corpus.py; run_phase3_corpus.py","tests/test_phase3_corpus.py; local corpus run",Implemented; 46/46 locally observed,"Project-controlled deterministic scenarios, not exhaustive/statistical evidence or external red-team assurance"
P3-REG-001,Regression,"Preserve Phase 1 compatibility and Phase 2 read-only behavior while adding the Phase 3 package.","src/adf_poc/phase3/; existing Phase 1 and Phase 2 implementation","57/57 focused Phase 3 local tests; 288/288 full repository unittest discovery",Implemented; local observation,"Exact candidate commit and CI remain pending; any executable or test change invalidates the local counts and requires rerun"
P3-GOV-001,Governance,"Keep implementation, local observation, exact-commit CI, operational validation, and external assurance as separate evidence states.","docs/phase3/README.md; docs/phase3/SECURITY_AND_SAFETY_CASE.md; docs/phase3/TEST_AND_EVALUATION_PLAN.md","documentation and release review",Implemented,"Phase 3 0.3.0-alpha.1 remains an uncommitted local candidate; no CE-2 package, live/operational result, or external-independence claim"
